Time,X_target,Y_target,Angle_target,X_actual,Y_actual,Angle_actual,U[0],U[1],Uc[0],Uc[1]
1454974366579,0.0,610.0,1.5707963267948966,0.0,610.0,1.5707963267948966,76.939836006348926,50.759897226434006,0,0
1454974367579,63.762362593268605,606.6583561746467,1.6755160819145563,49.47642749779174,567.06697046143665,-50.051073200977733,76.98795426252434,50.616606551482356,-0.048118256175382963,0.14329067495162121
1454974368579,126.82613139883318,596.6700364476214,1.7802358370342162,19.619554459768132,512.07827384293273,-100.48014516111429,77.032040607206639,50.34406078451952,-0.092204600857692567,0.41583644191449132
1454974369579,188.5003665687179,580.1444749400437,1.8849555921538759,-18.789070704488772,462.36507496168292,-152.50887927531895,77.078408466112904,50.115758980662328,-0.13857245976397009,0.64413824577169043
1454974371579,248.1093522762381,557.2627291619865,1.9896753472735356,-83.352081565738942,451.30529431910213,-251.30995199340182,77.171976479915614,49.965084495591789,-0.23214047356674428,0.79481273084215087
1454974372579,304.99999999999994,528.2754963085076,2.0943951023931953,-125.3445601326798,402.28247770672203,-302.58731789394665,77.220041156663257,49.868646488912994,-0.28020515031421711,0.89125073752107253
1454974373579,358.5490038984086,493.50036656871794,2.199114857512855,-185.79152061990916,409.8499703619197,-352.8119490770373,77.270728689506186,49.968592660842837,-0.33089268315735515,0.79130456559112372
1454974374579,408.16966987890345,453.31834354121054,2.3038346126325147,-247.53680635411268,418.42817780918108,-402.34115251768588,77.322426337332516,50.152578116951766,-0.3825903309835017,0.60731910948227175
1454974375579,453.3183435412104,408.1696698789035,2.4085543677521746,-298.5678064089829,381.79757011225001,-452.4906881655491,77.374143996657125,50.298663827663937,-0.43430799030812367,0.46123339877008607
1454974376579,493.50036656871794,358.5490038984086,2.5132741228718345,-345.77167052086736,340.34061592867022,-503.5571970179767,77.427749965074185,50.490645288323726,-0.48791395872536009,0.26925193811023596
1454974377579,528.2754963085075,305.00000000000006,2.617993877991494,-409.64967144144009,343.63273987736409,-553.98633387043299,77.484020628925023,50.848507457124072,-0.54418462257609002,-0.088610230690132005
1454974378579,557.2627291619865,248.10935227623824,2.722713633111154,-471.15321954458818,357.65573621508611,-607.46417726092398,77.544655074597131,51.266894044937573,-0.60481906824804788,-0.50699681850347045
1454974379579,580.1444749400437,188.50036656871794,2.827433388230814,-408.99459931989242,341.04724314777525,-657.91520576570485,77.599656683260918,51.513821261497675,-0.65982067691206892,-0.75392403506369554
1454974380579,596.6700364476214,126.82613139883327,2.9321531433504733,-351.36862765764846,310.78150788450915,-708.20978920586435,77.653205649666802,51.691568794768635,-0.71336964331790376,-0.93167156833471376
