Time,X_target,Y_target,Angle_target,X_actual,Y_actual,Angle_actual,U[0],U[1],Uc[0],Uc[1]
1454974525963,0.0,610.0,1.5707963267948966,0.0,610.0,1.5707963267948966,76.939836006348926,50.759897226434006,0,0
1454974526963,63.762362593268605,606.6583561746467,1.6755160819145563,-22.230140477362291,667.78834003827228,-75.748499922257167,76.842048817935151,50.83355581293084,0.09778718841380192,-0.073658586496858344
1454974528963,126.82613139883318,596.6700364476214,1.7802358370342162,57.018017446754449,609.61574415500877,-227.9615430398996,76.657642111767103,50.979846623824081,0.28219389458183969,-0.21994939739007077
1454974529963,188.5003665687179,580.1444749400437,1.8849555921538759,71.22342928141417,546.48365301697277,-304.42399879566102,76.447644524386575,51.050894541106928,0.492191481962368,-0.29099731467290413
1454974530963,248.1093522762381,557.2627291619865,1.9896753472735356,22.9171785056343,504.37304856623285,-380.81351913932167,76.251992690480108,51.121759057420796,0.68784331586875824,-0.36186183098685182
1454974531963,304.99999999999994,528.2754963085076,2.0943951023931953,-39.772803422620512,524.23417137353101,-457.8843059812246,76.257847748510827,51.197006083008745,0.68198825783821848,-0.43710885657468418
1454974532963,358.5490038984086,493.50036656871794,2.199114857512855,-16.225807733099092,583.44227916939121,-532.47211531469043,76.488194125542961,51.274603152176283,0.45164188080586731,-0.51470592574231788
1454974534963,408.16966987890345,453.31834354121054,2.3038346126325147,6.4192372462162162,682.60331847993814,-684.80157938921764,76.784489050626703,51.429982737778133,0.15534695572231136,-0.67008551134409777
1454974535963,453.3183435412104,408.1696698789035,2.4085543677521746,62.875271157577522,711.19374548250482,-760.91204531488472,77.002983861191908,51.509300376632019,-0.063147854842909162,-0.7494031501980013
1454974536963,493.50036656871794,358.5490038984086,2.5132741228718345,125.33652507418789,696.03513601080692,-838.79186016292613,77.10621405227289,51.588242396162201,-0.16637804592406963,-0.82834516972823768
1454974537963,528.2754963085075,305.00000000000006,2.617993877991494,65.839849340909609,668.02300576890275,-916.12971917983339,77.227028165247077,51.666470538758638,-0.28719215889814814,-0.90657331232469407
1454974539963,557.2627291619865,248.10935227623824,2.722713633111154,120.41356109859876,700.79352317212761,-1072.5666559458089,77.364575377372674,51.823485814858522,-0.42473937102358844,-1.0635885884244223
1454974540963,580.1444749400437,188.50036656871794,2.827433388230814,78.476002024121087,751.06882192272712,-1149.9189344977592,77.669052436245892,51.905763793553739,-0.72921642989703706,-1.1458665671197574
1454974541963,596.6700364476214,126.82613139883327,2.9321531433504733,141.27997839768247,769.67527553697619,-1227.5537989065517,77.758929586622983,51.984686178939434,-0.81909358027409229,-1.2247889525055122
1454974542963,606.6583561746467,63.76236259326875,3.036872898470133,117.25073054262809,709.41945641611198,-1306.0130792081993,77.749552521274069,52.061988444124609,-0.80971651492500141,-1.3020912176905208
1454974543963,610.0,3.735172737399427e-14,3.141592653589793,136.16156750707822,771.29257182849085,-1382.892680086027,77.873552753676634,52.140952051388972,-0.93371674732777488,-1.381054824954981
1454974545963,606.6583561746468,-63.762362593268534,3.2463124087094526,141.10831047132254,730.55022025598169,-1538.5127325927217,77.698406696121083,52.291139179166315,-0.75857068977215969,-1.5312419527323664
1454974546963,596.6700364476214,-126.82613139883307,3.3510321638291125,160.15435290031047,791.2818916243632,-1615.7758246023072,77.661515845520526,52.367478924661661,-0.72167983917148182,-1.6075816982275959
1454974547963,580.1444749400437,-188.50036656871788,3.4557519189487724,214.18696688476609,753.59019328372256,-1692.7210873533891,77.330131944887313,52.437466963773318,-0.39029593853843936,-1.6775697373393137
1454974548963,557.2627291619866,-248.10935227623807,3.560471674068432,178.80283924962211,700.58374048328221,-1771.0249856216842,77.118352529438212,52.510788733957533,-0.1785165230892802,-1.7508915075235911
1454974549963,528.2754963085076,-304.9999999999999,3.665191429188092,199.64057168393279,761.21995013715969,-1847.7233371683021,76.823555869895614,52.581510406089649,0.11628013645342651,-1.8216131796555854
1454974551963,493.50036656871794,-358.54900389840856,3.7699111843077517,207.00147969128213,777.88241952766055,-2002.1579806238226,76.371021228441847,52.725250875919428,0.56881477790686352,-1.9653536494855803
1454974552963,453.31834354121065,-408.16966987890333,3.874630939427411,152.76372735370572,813.12023146044203,-2078.9496307563131,76.076643000328616,52.795732079646811,0.86319300602044113,-2.0358348532127382
1454974553963,408.1696698789037,-453.3183435412104,3.979350694547071,179.80794763481225,872.13207352485597,-2153.7482283064846,75.517066773828674,52.859142609381635,1.4227692325203805,-2.0992453829475615
1454974554963,358.54900389840867,-493.5003665687179,4.084070449666731,163.83760158552116,934.40188996814049,-2228.7324277085213,74.992954137873411,52.923291154713539,1.9468818684753546,-2.1633939282796426
1454974555963,305.0000000000002,-528.2754963085075,4.1887902047863905,126.99294045206939,985.27350132359084,-2304.6273676188107,74.466412509532105,52.988099075041802,2.4734234968168893,-2.2282018486076844
1454974556963,248.10935227623827,-557.2627291619865,4.29350995990605,118.20195431552699,1049.6673138764315,-2379.5760700618389,73.824317451497549,53.049595868328886,3.1155185548515574,-2.2896986418948702
1454974557963,188.500366568718,-580.1444749400437,4.39822971502571,82.349785426882917,1105.2703789780637,-2453.5157769044176,73.225684056971403,53.110766728083121,3.7141519493773369,-2.350869501649246
1454974559963,126.82613139883344,-596.6700364476214,4.50294947014537,27.819109889623405,1014.1856767050945,-2599.9704042892108,72.772765327600908,53.245277924678724,4.1670706787480807,-2.4853806982446178
1454974560963,63.762362593268776,-606.6583561746467,4.607669225265029,21.269854256357437,1076.6695544726574,-2672.6096234449228,72.128375357917704,53.303920035841671,4.8114606484314049,-2.5440228094076605
